Date,Hillside OAT [F],Main Meter [kW],Boiler Gas [kBtu/hr]
1/6/2012 0:00,47.1,107.67,71.98
1/6/2012 1:00,46.06,108.53,89.82
1/6/2012 2:00,45.63,110.6,103.39
1/6/2012 3:00,45.24,109.61,231.01
1/6/2012 4:00,45.15,135,459.76
1/6/2012 5:00,45.71,140.3,722.94
1/6/2012 6:00,44.92,148.99,865.39
1/6/2012 7:00,44.59,163.71,1017.34
1/6/2012 8:00,46.06,182.61,783.8
1/6/2012 9:00,61.71,198.25,406.07
1/6/2012 10:00,70.87,204.33,201.25
1/6/2012 11:00,68.21,205.31,123.81
1/6/2012 12:00,56.64,205.13,134.37
1/6/2012 13:00,55.15,209.37,135.22
1/6/2012 14:00,55.62,217.13,116.27
1/6/2012 15:00,55.84,213.96,143.79
1/6/2012 16:00,53.64,202.8,147.06
1/6/2012 17:00,50.26,180.95,150.68
1/6/2012 18:00,49.5,130.3,102.62
1/6/2012 19:00,48.95,116.14,48.85
1/6/2012 20:00,48.8,110.93,76.52
1/6/2012 21:00,48.57,110.99,99.67
1/6/2012 22:00,48.52,107.76,102.56
1/6/2012 23:00,47.8,106.37,157.3
1/7/2012 0:00,48.09,106.04,178.94
1/7/2012 1:00,47.96,107.09,148.62
1/7/2012 2:00,46.7,111.12,154.13
1/7/2012 3:00,46.97,109.9,181.42
1/7/2012 4:00,46.84,110.35,252.54
1/7/2012 5:00,46.16,111.87,270.82
1/7/2012 6:00,46.96,111.96,257.29
1/7/2012 7:00,48.13,111.69,331.27
1/7/2012 8:00,50.7,111.29,342.7
1/7/2012 9:00,64.43,111.42,283.26
1/7/2012 10:00,77.13,111.29,210.22
1/7/2012 11:00,77.45,108.79,153.06
1/7/2012 12:00,64.91,107.66,152.31
1/7/2012 13:00,64.44,106.79,161.99
1/7/2012 14:00,64.8,107.8,178.33
1/7/2012 15:00,64.75,108.15,190.9
1/7/2012 16:00,62.95,107.59,193.32
1/7/2012 17:00,58.69,106.86,183.98
1/7/2012 18:00,56.3,107.6,194.92
1/7/2012 19:00,55.45,108.75,164.25
1/7/2012 20:00,55.5,110.08,161.67
1/7/2012 21:00,55,111.43,149.01
1/7/2012 22:00,55.67,113.36,114.32
1/7/2012 23:00,55.09,113.59,114.14
1/8/2012 0:00,53.89,112.33,144.84
1/8/2012 1:00,54.14,112.66,171.16
1/8/2012 2:00,54.47,116.79,161.43
1/8/2012 3:00,52.42,115.01,162.81
1/8/2012 4:00,53.25,116.24,166.83
1/8/2012 5:00,52.68,116.05,226.11
1/8/2012 6:00,51.13,117.43,267.05
1/8/2012 7:00,50.53,118.5,278.6
1/8/2012 8:00,54.72,117.76,248.07
1/8/2012 9:00,69.93,116.92,198.79
1/8/2012 10:00,81.74,116.31,151.02
1/8/2012 11:00,76.24,115.21,157.94
1/8/2012 12:00,64.79,112.27,155.64
1/8/2012 13:00,63.66,111.74,100.96
1/8/2012 14:00,63.42,113.19,73.31
1/8/2012 15:00,62.69,112.95,82.56
1/8/2012 16:00,61.27,111.19,104.22
1/8/2012 17:00,57.33,109.81,169.65
1/8/2012 18:00,55.65,109.77,153.4
1/8/2012 19:00,54.76,110.81,124.77
1/8/2012 20:00,54.17,111.29,123.12
1/8/2012 21:00,53.73,114.04,156.09
1/8/2012 22:00,54.01,112.84,227.17
1/8/2012 23:00,54.05,112.34,290.34
1/9/2012 0:00,52.48,111.44,327.59
1/9/2012 1:00,51.76,112.95,340.21
1/9/2012 2:00,51.68,117.1,325.94
1/9/2012 3:00,51,118.6,344.48
1/9/2012 4:00,50.14,136.9,552.26
1/9/2012 5:00,49.64,145.08,926.09
1/9/2012 6:00,49.7,152.17,1090.85
1/9/2012 7:00,50.89,165.44,1209.66
1/9/2012 8:00,53.32,188.7,1013.43
1/9/2012 9:00,66.88,209.52,742.85
1/9/2012 10:00,74.61,217.58,548.07
1/9/2012 11:00,75.39,221.05,405.3
1/9/2012 12:00,61.37,221.9,297.91
1/9/2012 13:00,61.07,223.88,322.45
1/9/2012 14:00,60.3,224.6,329.62
1/9/2012 15:00,60.81,222.01,305.18
1/9/2012 16:00,60.06,212.95,303.49
1/9/2012 17:00,56.34,188.34,314.72
1/9/2012 18:00,54.82,136.85,285.78
1/9/2012 19:00,54.06,119.24,321.36
1/9/2012 20:00,53.56,113.31,247.78
1/9/2012 21:00,53.27,114.49,189.43
1/9/2012 22:00,51.95,110.96,186.08
1/9/2012 23:00,51.15,111.48,182.43
1/10/2012 0:00,50.83,114.22,193.5
1/10/2012 1:00,49.96,114.84,211.92
1/10/2012 2:00,49.21,117.78,248.72
1/10/2012 3:00,48.12,116.15,319.78
1/10/2012 4:00,48.44,137.51,582.34
1/10/2012 5:00,48.65,145.34,800.16
1/10/2012 6:00,48.35,153.88,956.27
1/10/2012 7:00,47.98,167.78,953.96
1/10/2012 8:00,48.7,187.43,982.51
1/10/2012 9:00,62.36,204.84,978.13
1/10/2012 10:00,72.52,210.95,748.12
1/10/2012 11:00,73.79,213.66,653.81
1/10/2012 12:00,61.6,214.88,574.89
1/10/2012 13:00,60.84,224.13,437.04
1/10/2012 14:00,61.7,222.29,389.86
1/10/2012 15:00,61.93,221.1,335.92
1/10/2012 16:00,60.5,206.65,332.26
1/10/2012 17:00,57.16,185.63,355.15
1/10/2012 18:00,55.85,135.29,310.16
1/10/2012 19:00,56.27,116.78,226.94
1/10/2012 20:00,54.07,111.93,227.21
1/10/2012 21:00,51.77,110.82,287.81
1/10/2012 22:00,50.27,108.77,279.53
1/10/2012 23:00,49.91,108.9,270.38
1/11/2012 0:00,50.75,109.29,360.21
1/11/2012 1:00,50.95,113.04,425.24
1/11/2012 2:00,49.21,115.98,390.4
1/11/2012 3:00,48.51,114.37,389.17
1/11/2012 4:00,48.05,139.09,691.73
1/11/2012 5:00,47.13,145.71,999.44
